#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   155   330.766   863.860   925.019     0.002     0.002     1.000      0.00  -1097803.1  400360.7    ++
   154   559.077  1136.419  1266.497     0.001     0.001     1.000      0.00  -1268204.9  229958.9    ++
   152  -135.366  -794.184   805.638     0.002     0.002     1.000      0.00  -1051417.1  446746.7    ++
   148    24.819  1086.755  1087.039     0.001     0.001     1.000      0.00  -1183171.4       0.0    ++
   146  -126.459  1246.030  1252.430     0.001     0.001     1.000      0.00  -1260694.9  -77523.5    ++
   145  1695.269  1697.411  2398.988     0.000     0.000     1.000      0.00  -1622858.4  -439687.1    ++
   144  -697.087  1342.328  1512.539     0.001     0.001     1.000      0.00  -1367696.6  -184525.2    ++
   143  1030.116  1205.249  1585.486     0.001     0.001     1.000      0.00  -1393843.3  -210671.9    ++
   142  -226.311  1707.604  1722.535     0.001     0.001     1.000      0.00  -1435727.4  -252556.0    ++
   141  -411.039  1022.786  1102.290     0.001     0.001     1.000      0.00  -1194794.9  -11623.6    ++
   139   537.226   114.137   549.217     0.004     0.004     1.000      0.00  -856857.7       0.0    ++
   138   229.730   -17.930   230.429     0.014     0.014     1.003      0.00  -489818.8  367038.9    ++
   133  1538.274   333.173  1573.942     0.001     0.001     1.000      0.00  -1398697.0  -541839.3    ++
   130  -160.826  -681.693   700.408     0.003     0.003     1.000      0.00  -981643.5  -124785.8    ++
   126   271.256   133.001   302.107     0.011     0.011     1.002      0.00  -575310.2       0.0    ++
   124   357.320  1283.335  1332.150     0.001     0.001     1.000      0.00  -1294161.1  -718850.9    ++
   121   836.383  1177.550  1444.355     0.001     0.001     1.000      0.00  -1341754.2  -766444.0    ++
   120   215.911  1033.372  1055.687     0.001     0.001     1.000      0.00  -1167460.4  -592150.3    ++
   119  1485.482  -394.063  1536.861     0.001     0.001     1.000      0.00  -1390081.3       0.0    ++
   118  1177.280  -697.116  1368.195     0.001     0.001     1.000      0.00  -1329259.5   60821.8    ++
   117  -414.805   198.160   459.707     0.005     0.005     1.000      0.00  -770047.5  620033.8    ++
   115   184.083  -752.587   774.774     0.002     0.002     1.000      0.00  -1033204.2  356877.1    ++
   113   552.258   470.252   725.346     0.003     0.003     1.000      0.00  -980836.2  409245.1    ++
   112  -150.799  1339.946  1348.405     0.001     0.001     1.000      0.00  -1301056.0   89025.3    ++
   111   475.171   811.474   940.361     0.002     0.002     1.000      0.00  -1108964.2  281117.1    ++
   108   438.321  1368.854  1437.320     0.001     0.001     1.000      0.00  -1335982.1       0.0    ++
   107  1781.977   564.186  1869.157     0.000     0.000     1.000      0.00  -1490738.3  -154756.2    ++
