Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023954.3-013321,39.976475,-1.5560277,17.03346,0.6507871
CS-Abell-370,2HERMES S250 SF J023954.3-013337,39.976646,-1.5604106,42.577126,0.6208152
CS-Abell-370,2HERMES S250 SF J023954.4-013150,39.976894,-1.5305986,0,18.597054
CS-Abell-370,2HERMES S250 SF J023954.7-012817,39.978195,-1.4716178,13.630306,0.97438794
CS-Abell-370,2HERMES S250 SF J023954.8-012929,39.97841,-1.4913943,0,3.656598
CS-Abell-370,2HERMES S250 SF J023954.9-013457,39.97896,-1.5826205,0,16.205675
CS-Abell-370,2HERMES S250 SF J023955.0-013032,39.979313,-1.5090215,3.6072261,0.7482237
CS-Abell-370,2HERMES S250 SF J023955.0-013433,39.979385,-1.576066,0,9.861007
CS-Abell-370,2HERMES S250 SF J023955.1-014217,39.979584,-1.7048906,8.7546,1.4488916
CS-Abell-370,2HERMES S250 SF J023955.5-012649,39.981422,-1.4469568,0,4.962629
CS-Abell-370,2HERMES S250 SF J023955.6-013342,39.981743,-1.561748,0,9.957113
CS-Abell-370,2HERMES S250 SF J023955.9-012959,39.983036,-1.4998206,0,6.5980196
CS-Abell-370,2HERMES S250 SF J023956.1-013707,39.983932,-1.6188774,33.17359,0.77232677
CS-Abell-370,2HERMES S250 SF J023956.2-012555,39.984528,-1.4322152,31.716291,1.3155379
CS-Abell-370,2HERMES S250 SF J023956.2-012820,39.984467,-1.4722458,6.953041,0.94052577
CS-Abell-370,2HERMES S250 SF J023956.3-013136,39.98459,-1.5268949,58.817688,0.6899021
CS-Abell-370,2HERMES S250 SF J023956.6-013140,39.986145,-1.5278078,85.1704,0.69194806
CS-Abell-370,2HERMES S250 SF J023956.8-012535,39.98679,-1.4266218,0,4.754405
CS-Abell-370,2HERMES S250 SF J023956.8-012747,39.98674,-1.4631181,7.374278,1.0117874
CS-Abell-370,2HERMES S250 SF J023956.8-013619,39.986725,-1.6054807,0,1.7491015
CS-Abell-370,2HERMES S250 SF J023957.0-012932,39.987633,-1.492437,14.23842,0.84509355
CS-Abell-370,2HERMES S250 SF J023957.0-014205,39.987854,-1.7015557,0,3.4587526
CS-Abell-370,2HERMES S250 SF J023957.1-012612,39.98831,-1.4368215,0,7.3651223
CS-Abell-370,2HERMES S250 SF J023957.1-013653,39.98811,-1.6148187,0,15.912499
CS-Abell-370,2HERMES S250 SF J023957.2-014300,39.98841,-1.7168196,6.1508703,1.8082321
CS-Abell-370,2HERMES S250 SF J023957.3-012704,39.989033,-1.4512814,6.0925975,1.2112948
CS-Abell-370,2HERMES S250 SF J023957.3-012920,39.988945,-1.4889991,1.3531781,0.83328396
CS-Abell-370,2HERMES S250 SF J023957.5-012959,39.989704,-1.4998783,0,8.602143
CS-Abell-370,2HERMES S250 SF J023957.5-013721,39.989956,-1.622558,0,9.065602
CS-Abell-370,2HERMES S250 SF J023957.6-013455,39.99026,-1.582028,6.8696847,0.6302595
CS-Abell-370,2HERMES S250 SF J023957.7-013317,39.990456,-1.5548348,0,8.299127
