   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
   355  -358.854   467.018   590.225     0.027     0.027     1.002      0.00  -817981.2  -16310.4
   354   268.332   188.049   326.997     0.070     0.070     1.013      0.01  -547744.5  253926.4
   353  -622.642  -144.110   640.185     0.021     0.021     1.001      0.00  -882183.0  -80512.1
   352   367.842   127.490   388.329     0.050     0.051     1.006      0.01  -636588.9  165082.0
   351   364.703  -210.682   419.785     0.042     0.042     1.005      0.00  -691334.2  110336.7
   350   154.394   -23.349   154.816     0.160     0.162     1.061      0.06  -302563.3  499107.6
   349   588.522  -257.422   640.959     0.021     0.021     1.001      0.00  -885948.5       0.0
   348   730.674   498.757   883.986     0.013     0.013     1.001      0.00  -1026674.0  -140725.5
   347   663.022   318.321   734.616     0.017     0.017     1.001      0.00  -936741.1  -50792.6
   346  -423.024  -789.277   895.539     0.012     0.012     1.001      0.00  -1045870.0  -159921.5
   345  -426.970   681.969   805.796     0.015     0.015     1.001      0.00  -972704.4  -86755.9
   344    28.923  -870.112   869.930     0.013     0.013     1.001      0.00  -1031175.0  -145226.5
